#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.839266000000000e-02	5.403363010000001e+00	6.289384654468828e-01	2.278178272628198e-02	1.755035900629296e+00	2.575032598453654e-01	0.000000000000000e+00
6.283185e+03	4.839355835051380e-02	5.402951435979001e+00	4.456573234511239e+00	2.274759302532829e-02	1.755041156898856e+00	2.518199625099571e-01	2.157108579639058e-02
6.283185e+04	4.842350997416750e-02	5.399282341090157e+00	4.442276645122567e+00	2.274084398415384e-02	1.755580915694750e+00	2.525982893255479e-01	4.644193581575939e-02
6.283185e+05	5.090209577780191e-02	5.366130711165150e+00	3.367187301140515e+00	2.228815169367378e-02	1.809567909319415e+00	2.696622929429834e-01	9.944177235805221e-02
6.283185e+06	4.527394908403822e-02	5.228181251624855e+00	3.064165041485535e+00	3.207549233725130e-02	1.917645363707444e+00	2.116571545710107e+00	2.087332223400698e-01
6.283185e+07	3.255020249775711e-02	5.194642382577081e+00	4.168745568510716e+00	2.517561731498817e-02	2.088058964449186e+00	5.225043549027359e+00	3.546390853963786e-01
1.256637e+08	4.508752599015842e-02	5.183666264025828e+00	4.311565052773149e+00	2.779748228578513e-02	1.678587189037769e+00	2.728017573862540e+00	3.538897439869922e-01
