#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.716771000000000e-02	1.619126393000000e+01	5.431442488058922e+00	1.343659177940355e-02	1.295555809360288e+00	2.983888891169790e+00	0.000000000000000e+00
6.283185e+03	4.716588384821756e-02	1.619653764499935e+01	1.399196829064915e+00	1.342907599870487e-02	1.295558416925046e+00	2.987477967060145e+00	2.312480902227655e-02
6.283185e+04	4.709066701765992e-02	1.624360194220922e+01	6.204217051498763e+00	1.342369184470928e-02	1.295788107374825e+00	2.987482237766315e+00	4.996566152694803e-02
6.283185e+05	4.587836733575556e-02	1.667988879585439e+01	3.036027134751860e-01	1.293771552577387e-02	1.319454822835756e+00	2.982684787885099e+00	1.105390652048171e-01
6.283185e+06	9.297119084457430e-03	1.873560001587888e+01	1.401398116397066e+00	2.978540767568493e-02	2.550588042128074e+00	4.700408073437183e+00	2.674998705162939e-01
6.283185e+07	6.770807939138791e-02	1.914454615951608e+01	1.836037470060172e+00	3.246583287892606e-02	2.464487732218775e+00	2.797326474964831e+00	4.674025171150107e-01
1.256637e+08	3.281478154757141e-02	1.910410938612187e+01	5.625611323632196e+00	1.912881729715088e-02	1.683134402135361e+00	1.186336957381328e+00	4.664152777461075e-01
