#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.716771000000000e-02	1.619126393000000e+01	5.431442488058922e+00	1.343659177940355e-02	1.295555809360288e+00	2.983888891169790e+00	0.000000000000000e+00
6.283185e+03	4.716588384821756e-02	1.619653764499935e+01	1.399196829064915e+00	1.342907599870487e-02	1.295558416925046e+00	2.987477967060145e+00	2.312480902227655e-02
6.283185e+04	4.709066701765992e-02	1.624360194220922e+01	6.204217051498763e+00	1.342369184470928e-02	1.295788107374825e+00	2.987482237766315e+00	4.996566152694803e-02
6.283185e+05	4.587836730748102e-02	1.667988879550187e+01	3.036026971396710e-01	1.293771552571495e-02	1.319454822836833e+00	2.982684787661807e+00	1.105390652024809e-01
6.283185e+06	9.298063870448091e-03	1.873560988478853e+01	1.401497673128148e+00	2.978539856714100e-02	2.550587714366019e+00	4.700474033940719e+00	2.675000114208848e-01
6.283185e+07	7.119751385819312e-02	1.915047970175646e+01	3.840650388337191e+00	3.011641639357515e-02	2.492960355716910e+00	2.588104201268700e+00	4.675473809605914e-01
1.256637e+08	2.450329778970871e-02	1.909191677597919e+01	4.446423800968932e+00	2.029282809381175e-02	1.354275761682878e+00	2.828502575082181e-01	4.661176025427673e-01
