#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	5.415060000000000e-02	8.737070319999999e+00	9.145972638373515e-01	4.336200713409832e-02	1.984701857037052e+00	1.613241687005847e+00	0.000000000000000e+00
6.283185e+03	5.414490804748232e-02	8.738560048359082e+00	5.329178693674024e+00	4.223719235764118e-02	1.984693802821511e+00	1.614336088547721e+00	2.334015116237224e-02
6.283185e+04	5.405583228977800e-02	8.751871532948680e+00	5.362135754559606e+00	4.224837111398166e-02	1.983854319509036e+00	1.616460929876914e+00	5.036143042592296e-02
6.283185e+05	4.794750553168865e-02	8.874412542141556e+00	3.393639392782433e-01	4.308524916220046e-02	1.905510753332520e+00	1.878299370926523e+00	1.100196021050299e-01
6.283185e+06	6.431634684798640e-02	9.425444799183174e+00	3.001854955502824e+00	1.694318485022131e-02	1.248538057808901e+00	4.138523352832312e+00	2.517477767138995e-01
6.283185e+07	5.698465641340646e-02	9.524354776583641e+00	4.452289493392394e+00	3.481416949330987e-02	1.425080010394086e+00	1.361555540298011e+00	4.350000984187063e-01
1.256637e+08	5.538901404526428e-02	9.493228748992772e+00	8.780235643464022e-01	2.821483110459069e-02	2.466589667884368e+00	4.338802488549543e+00	4.335784981756431e-01
