#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.839266000000000e-02	5.403363010000001e+00	6.289384654468828e-01	2.278178272628198e-02	1.755035900629296e+00	2.575032598453654e-01	0.000000000000000e+00
6.283185e+03	4.839355835051380e-02	5.402951435979001e+00	4.456573234511239e+00	2.274759302532829e-02	1.755041156898856e+00	2.518199625099571e-01	2.157108579639058e-02
6.283185e+04	4.842350997416750e-02	5.399282341090157e+00	4.442276645122567e+00	2.274084398415384e-02	1.755580915694750e+00	2.525982893255479e-01	4.644193581575939e-02
6.283185e+05	5.090209589049764e-02	5.366130710013870e+00	3.367190973499944e+00	2.228815169601780e-02	1.809567909219946e+00	2.696622875546252e-01	9.944177233671742e-02
6.283185e+06	4.527550920894059e-02	5.228180073810173e+00	3.062179652785370e+00	3.207549859849124e-02	1.917647802413303e+00	2.116622341128573e+00	2.087331753162498e-01
6.283185e+07	4.440020505569466e-02	5.192400357325130e+00	1.457967109941025e+00	2.443694113373439e-02	2.087660543461612e+00	5.376015653117822e+00	3.544860219655919e-01
1.256637e+08	5.295047983003560e-02	5.184246055045169e+00	1.453563403946044e+00	2.859750809185001e-02	1.677154951773917e+00	3.534510182941847e+00	3.539293264147469e-01
