#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	5.415060000000000e-02	8.737070319999999e+00	9.145972638373515e-01	4.336200713409832e-02	1.984701857037052e+00	1.613241687005847e+00	0.000000000000000e+00
6.283185e+03	5.414490804748232e-02	8.738560048359082e+00	5.329178693674024e+00	4.223719235764118e-02	1.984693802821511e+00	1.614336088547721e+00	2.334015116237224e-02
6.283185e+04	5.405583228785026e-02	8.751871532956535e+00	5.362135752620474e+00	4.224837111401795e-02	1.983854319509118e+00	1.616460929869331e+00	5.036143042596816e-02
6.283185e+05	4.794750504500124e-02	8.874412540680176e+00	3.393644424371678e-01	4.308524917260760e-02	1.905510753250235e+00	1.878299369470282e+00	1.100196020869126e-01
6.283185e+06	6.431093848763325e-02	9.425443620912409e+00	3.005759623830261e+00	1.694330634271342e-02	1.248532907025976e+00	4.138574903159723e+00	2.517477452430192e-01
6.283185e+07	2.536524345578654e-02	9.514022669890162e+00	4.176449097846017e+00	3.575384503154133e-02	1.437990683114473e+00	3.908996091010327e+00	4.345282063552580e-01
1.256637e+08	4.140607550551860e-02	9.508299436846995e+00	5.839507073450177e-01	2.217927767966427e-02	2.526868563485453e+00	5.216760646371940e+00	4.342668125920635e-01
