#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	8.585870000000000e-02	2.306896348000000e+01	5.247294692089953e+00	3.087784152750808e-02	2.298977186791289e+00	7.848981265667520e-01	0.000000000000000e+00
6.283185e+03	8.583842885796079e-02	2.308038479771604e+01	5.391772339204382e+00	3.026246777173186e-02	2.298976857812256e+00	7.643085711809370e-01	3.481949406236115e-02
6.283185e+04	8.564929505874982e-02	2.318251654135275e+01	4.731808033468009e+00	3.026453320625027e-02	2.298949125718087e+00	7.645238423765057e-01	7.534827652258169e-02
6.283185e+05	8.402458587967902e-02	2.414047573783716e+01	2.930721173842941e+00	3.035545854024388e-02	2.296443574357393e+00	7.743212419768514e-01	1.690409413156249e-01
6.283185e+06	8.027003762095039e-02	2.893069200541708e+01	3.855841993564201e+00	3.201104149307302e-02	2.137531490355753e+00	1.371110071981724e+00	4.364537538396255e-01
6.283185e+07	8.921994496821958e-02	2.980136627220724e+01	1.665214602648331e+00	3.608660596875783e-02	1.775595445290615e+00	1.514991929015828e+00	7.687862157742511e-01
1.256637e+08	8.715840395255764e-02	2.952505871177459e+01	1.375667667172239e+00	3.964227827172449e-02	1.639701226865766e+00	4.293771868697487e+00	7.616583062067984e-01
