#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.716771000000000e-02	1.619126393000000e+01	5.431442488058922e+00	1.343659177940355e-02	1.295555809360288e+00	2.983888891169790e+00	0.000000000000000e+00
6.283185e+03	4.716588384821756e-02	1.619653764499935e+01	1.399196829064915e+00	1.342907599870487e-02	1.295558416925046e+00	2.987477967060145e+00	2.312480902227655e-02
6.283185e+04	4.709066701760092e-02	1.624360194221072e+01	6.204217051510351e+00	1.342369184470892e-02	1.295788107374823e+00	2.987482237765587e+00	4.996566152695265e-02
6.283185e+05	4.587836732233292e-02	1.667988879543898e+01	3.036027342186874e-01	1.293771552573179e-02	1.319454822833851e+00	2.982684787911952e+00	1.105390652020641e-01
6.283185e+06	9.296562047905268e-03	1.873559453720942e+01	1.401517585322688e+00	2.978541281978405e-02	2.550588398402516e+00	4.700373728058082e+00	2.674997922939061e-01
6.283185e+07	6.387091163238200e-02	1.914612334922406e+01	4.128775337348301e+00	3.388607385572419e-02	2.444096362716839e+00	2.888685873271244e+00	4.674410232479499e-01
1.256637e+08	2.566460478027922e-02	1.913110541408266e+01	6.182460459644536e+00	1.850789073168218e-02	2.197279803636023e+00	4.607153264936195e+00	4.670743694433379e-01
