#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.839266000000000e-02	5.403363010000001e+00	6.289384654468828e-01	2.278178272628198e-02	1.755035900629296e+00	2.575032598453654e-01	0.000000000000000e+00
6.283185e+03	4.839355835051380e-02	5.402951435979001e+00	4.456573234511239e+00	2.274759302532829e-02	1.755041156898856e+00	2.518199625099571e-01	2.157108579639058e-02
6.283185e+04	4.842350997289101e-02	5.399282341060637e+00	4.442276651059327e+00	2.274084398418293e-02	1.755580915694732e+00	2.525982892168564e-01	4.644193581550547e-02
6.283185e+05	5.090209588968089e-02	5.366130710603852e+00	3.367189656605704e+00	2.228815169454123e-02	1.809567909279259e+00	2.696622906505832e-01	9.944177234765059e-02
6.283185e+06	4.527656856133395e-02	5.228179472806993e+00	3.061136411643785e+00	3.207549492165758e-02	1.917649588931649e+00	2.116654296910934e+00	2.087331513214179e-01
6.283185e+07	5.350042006414939e-02	5.193577959461205e+00	1.165690927397828e-01	2.440278591945253e-02	2.084826568811270e+00	5.902510400572107e+00	3.545664170560988e-01
1.256637e+08	5.946547743149480e-02	5.182180048058455e+00	5.950410677858100e+00	3.046655096213217e-02	1.719462936123471e+00	3.941169066563398e+00	3.537882797797277e-01
