#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	5.415060000000000e-02	8.737070319999999e+00	9.145972638373515e-01	4.336200713409832e-02	1.984701857037052e+00	1.613241687005847e+00	0.000000000000000e+00
6.283185e+03	5.414490804748232e-02	8.738560048359082e+00	5.329178693674024e+00	4.223719235764118e-02	1.984693802821511e+00	1.614336088547721e+00	2.334015116237224e-02
6.283185e+04	5.405583228785026e-02	8.751871532956535e+00	5.362135752620474e+00	4.224837111401795e-02	1.983854319509118e+00	1.616460929869331e+00	5.036143042596816e-02
6.283185e+05	4.794750497517122e-02	8.874412540658581e+00	3.393637861041542e-01	4.308524917446507e-02	1.905510753226366e+00	1.878299369400055e+00	1.100196020866449e-01
6.283185e+06	6.430600880808757e-02	9.425442635564430e+00	3.008654166096218e+00	1.694344089323187e-02	1.248527767680716e+00	4.138627552368009e+00	2.517477189249867e-01
6.283185e+07	8.227109520346584e-02	9.514082373479724e+00	3.231849295055239e+00	3.344056327963730e-02	1.368808647735170e+00	2.611394828440970e-01	4.345309331612143e-01
1.256637e+08	8.844923062386978e-02	9.485199357581422e+00	1.414518440477015e+00	3.194649972865928e-02	2.416115317422836e+00	2.671430591350787e+00	4.332117766353277e-01
