#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.839266000000000e-02	5.403363010000001e+00	6.289384654468828e-01	2.278178272628198e-02	1.755035900629296e+00	2.575032598453654e-01	0.000000000000000e+00
6.283185e+03	4.839355835051380e-02	5.402951435979001e+00	4.456573234511239e+00	2.274759302532829e-02	1.755041156898856e+00	2.518199625099571e-01	2.157108579639058e-02
6.283185e+04	4.842350997289101e-02	5.399282341060637e+00	4.442276651059327e+00	2.274084398418293e-02	1.755580915694732e+00	2.525982892168564e-01	4.644193581550547e-02
6.283185e+05	5.090209585005615e-02	5.366130710995437e+00	3.367187904450811e+00	2.228815169447624e-02	1.809567909297385e+00	2.696622905805710e-01	9.944177235490720e-02
6.283185e+06	4.527767425931998e-02	5.228178935960031e+00	3.059765285527664e+00	3.207548419368071e-02	1.917651491804382e+00	2.116683910475270e+00	2.087331298879995e-01
6.283185e+07	2.295156199943323e-02	5.194469305247232e+00	4.063609940349105e+00	2.599332425279289e-02	2.087750866435112e+00	5.424201082677106e+00	3.546272693787512e-01
1.256637e+08	2.877073904027440e-02	5.185496644763571e+00	1.145655845341757e+00	2.704776129929429e-02	1.667011583078301e+00	3.269885025763580e+00	3.540147043794414e-01
