#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.716771000000000e-02	1.619126393000000e+01	5.431442488058922e+00	1.343659177940355e-02	1.295555809360288e+00	2.983888891169790e+00	0.000000000000000e+00
6.283185e+03	4.716588384821756e-02	1.619653764499935e+01	1.399196829064915e+00	1.342907599870487e-02	1.295558416925046e+00	2.987477967060145e+00	2.312480902227655e-02
6.283185e+04	4.709066701760092e-02	1.624360194221072e+01	6.204217051510351e+00	1.342369184470892e-02	1.295788107374823e+00	2.987482237765587e+00	4.996566152695265e-02
6.283185e+05	4.587836731795968e-02	1.667988879548524e+01	3.036027354461579e-01	1.293771552573518e-02	1.319454822833769e+00	2.982684787576100e+00	1.105390652023707e-01
6.283185e+06	9.296088147929054e-03	1.873559063706189e+01	1.401561134732193e+00	2.978541636130055e-02	2.550588875431524e+00	4.700343504826780e+00	2.674997366090623e-01
6.283185e+07	7.405622060847895e-02	1.913813653781851e+01	2.307044704782759e+00	2.978694350386523e-02	2.500151361234340e+00	2.636019412023912e+00	4.672460300773847e-01
1.256637e+08	2.133233196093384e-02	1.907600142313111e+01	4.536316444923727e+00	1.750769373645282e-02	1.483190928313061e+00	6.220020373436693e+00	4.657290388275460e-01
