#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	8.585870000000000e-02	2.306896348000000e+01	5.247294692089953e+00	3.087784152750808e-02	2.298977186791289e+00	7.848981265667520e-01	0.000000000000000e+00
6.283185e+03	8.583842885796079e-02	2.308038479771604e+01	5.391772339204382e+00	3.026246777173186e-02	2.298976857812256e+00	7.643085711809370e-01	3.481949406236115e-02
6.283185e+04	8.564929505874982e-02	2.318251654135275e+01	4.731808033468009e+00	3.026453320625027e-02	2.298949125718087e+00	7.645238423765057e-01	7.534827652258169e-02
6.283185e+05	8.402458587583664e-02	2.414047573783326e+01	2.930721175401151e+00	3.035545854019328e-02	2.296443574357285e+00	7.743212420353933e-01	1.690409413155976e-01
6.283185e+06	8.027001710495824e-02	2.893069305506906e+01	3.855780910013446e+00	3.201104007870115e-02	2.137531524482513e+00	1.371110329677017e+00	4.364537696748688e-01
6.283185e+07	9.295761948869592e-02	2.983967221342151e+01	5.357855708706474e+00	3.679815818505221e-02	1.784047952330751e+00	1.208081312065104e+00	7.697743946154091e-01
1.256637e+08	9.136436580485326e-02	2.955499609364546e+01	3.409743623534985e+00	4.188977690825860e-02	1.786922800743100e+00	3.596640778694223e+00	7.624306012186604e-01
