#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	8.585870000000000e-02	2.306896348000000e+01	5.247294692089953e+00	3.087784152750808e-02	2.298977186791289e+00	7.848981265667520e-01	0.000000000000000e+00
6.283185e+03	8.583842885796079e-02	2.308038479771604e+01	5.391772339204382e+00	3.026246777173186e-02	2.298976857812256e+00	7.643085711809370e-01	3.481949406236115e-02
6.283185e+04	8.564929505888035e-02	2.318251654135049e+01	4.731808033498802e+00	3.026453320625010e-02	2.298949125718095e+00	7.645238423755475e-01	7.534827652257434e-02
6.283185e+05	8.402458587398687e-02	2.414047573773346e+01	2.930721183129372e+00	3.035545854023346e-02	2.296443574355926e+00	7.743212420003233e-01	1.690409413148987e-01
6.283185e+06	8.027013726061920e-02	2.893068901281467e+01	3.855838880025445e+00	3.201104299387431e-02	2.137531444559635e+00	1.371110962240685e+00	4.364537086926737e-01
6.283185e+07	8.918234254235428e-02	2.980457076010488e+01	3.418539542833869e+00	3.685106570496273e-02	1.782651235307446e+00	1.257190827502587e+00	7.688688819883375e-01
1.256637e+08	9.201515772562693e-02	2.954636157661717e+01	3.265815306084962e+00	4.289169818181141e-02	1.744708437998368e+00	3.666141626110219e+00	7.622078564756648e-01
