#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	5.415060000000000e-02	8.737070319999999e+00	9.145972638373515e-01	4.336200713409832e-02	1.984701857037052e+00	1.613241687005847e+00	0.000000000000000e+00
6.283185e+03	5.414490804748232e-02	8.738560048359082e+00	5.329178693674024e+00	4.223719235764118e-02	1.984693802821511e+00	1.614336088547721e+00	2.334015116237224e-02
6.283185e+04	5.405583228977800e-02	8.751871532948680e+00	5.362135754559606e+00	4.224837111398166e-02	1.983854319509036e+00	1.616460929876914e+00	5.036143042592296e-02
6.283185e+05	4.794750473986529e-02	8.874412540354157e+00	3.393639606903475e-01	4.308524917917153e-02	1.905510753196158e+00	1.878299368583832e+00	1.100196020828708e-01
6.283185e+06	6.432510020695083e-02	9.425446067707558e+00	2.994966522482697e+00	1.694303038590967e-02	1.248545645508658e+00	4.138446693810423e+00	2.517478105953980e-01
6.283185e+07	7.186970987700640e-02	9.509687598871356e+00	2.438264151980899e+00	3.425343921108848e-02	1.399288304935885e+00	6.682095002635202e-01	4.343302132770844e-01
1.256637e+08	3.480545985427356e-02	9.490688965902564e+00	1.967155739563547e+00	3.122834426802635e-02	2.434557836966676e+00	5.011044136676549e-01	4.334625001978148e-01
